municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Garanhuns;2024-11-04;26.8;15.9;20.3;0.0
Garanhuns;2024-11-05;26.0;15.2;20.2;0.1
Garanhuns;2024-11-06;27.3;15.4;20.4;0.0
Garanhuns;2024-11-07;27.2;16.3;20.8;0.0
Garanhuns;2024-11-08;28.4;16.3;21.2;0.4
Garanhuns;2024-11-09;28.8;17.4;22.1;0.0
Garanhuns;2024-11-10;29.3;16.2;22.1;0.0
Garanhuns;2024-11-11;28.0;17.5;22.2;0.1
Garanhuns;2024-11-12;28.6;18.0;22.4;0.0
Garanhuns;2024-11-13;28.7;17.0;22.0;0.0
Garanhuns;2024-11-14;27.5;16.4;21.0;0.0
Garanhuns;2024-11-15;25.9;16.5;20.4;0.5
Garanhuns;2024-11-16;25.7;17.2;20.6;1.0
Garanhuns;2024-11-17;27.3;17.4;21.1;0.3
Garanhuns;2024-11-18;25.8;17.2;20.9;1.1
Garanhuns;2024-11-19;28.1;16.7;21.6;0.0
Garanhuns;2024-11-20;27.9;18.0;22.3;0.6
Garanhuns;2024-11-21;29.5;17.5;22.9;0.3
Garanhuns;2024-11-22;29.4;17.6;23.4;0.1
Garanhuns;2024-11-23;31.5;18.8;24.3;0.1
Garanhuns;2024-11-24;29.1;18.8;23.7;1.1
Garanhuns;2024-11-25;27.6;19.0;21.8;4.6
Garanhuns;2024-11-26;28.8;17.7;22.5;0.0
Garanhuns;2024-11-27;28.0;16.9;21.6;0.0
Garanhuns;2024-11-28;27.7;16.8;21.6;0.0
Garanhuns;2024-11-29;28.4;17.5;22.1;0.0
Garanhuns;2024-11-30;28.5;16.7;21.9;0.0
Garanhuns;2024-12-01;30.0;16.1;22.5;0.0
Garanhuns;2024-12-02;28.4;18.4;22.1;0.7
Garanhuns;2024-12-03;28.9;18.1;22.5;0.1
Garanhuns;2024-12-04;27.2;18.0;21.6;1.9
Garanhuns;2024-12-05;27.5;17.4;21.7;0.0
Garanhuns;2024-12-06;26.8;17.1;21.3;0.0
Garanhuns;2024-12-07;26.6;16.8;20.8;3.1
Garanhuns;2024-12-08;27.6;17.5;21.6;0.4
Garanhuns;2024-12-09;28.4;17.2;21.8;0.0
Garanhuns;2024-12-10;28.0;16.7;21.7;0.0
Garanhuns;2024-12-11;28.7;17.5;22.5;0.4
Garanhuns;2024-12-12;30.6;18.7;23.5;0.0
Garanhuns;2024-12-13;29.2;17.8;22.2;0.1
Garanhuns;2024-12-14;27.0;18.1;;
Garanhuns;2024-12-15;;;;
Garanhuns;2024-12-16;;;;
Serra Talhada;2024-10-17;31.6;23.5;28.1;0.0
Serra Talhada;2024-10-18;31.5;24.5;28.0;0.8
Serra Talhada;2024-10-19;33.9;23.6;29.0;0.2
Serra Talhada;2024-10-20;35.0;22.3;29.0;0.0
Serra Talhada;2024-10-21;36.3;21.7;28.9;0.0
